code,norm_code,name,category,sub_category,swatch_type,swatch_file,hex_catalog,hex_sampled,source_page,roll_size,supplier_price_per_m,supplier_price_per_roll,availability_flag,orderable,manage_stock,available_m,stock_status,stock_tab,stock_raw_code,in_price_sheet
PNT04,PNT04,Medium Grey,01 Basic,Premium Painted Wood,image,PNT04.jpg,#AAB1AA,#AAB1AA,9,1.22 x 40 m,35.81,1364.0,In Stock,True,True,1402.0,instock,Painted Woods + Woods,PNT04 (40m),True
PNT05,PNT05,Dark Brown,01 Basic,Premium Painted Wood,image,PNT05.jpg,#4D534D,#4D544D,9,1.22 x 40 m,50.0,2000.0,Special Order,False,False,,onbackorder,,,True
PNT07,PNT07,Green,01 Basic,Premium Painted Wood,image,PNT07.jpg,#628171,#628171,9,1.22 x 40 m,35.81,1364.0,In Stock,True,True,511.0,instock,Painted Woods + Woods,PNT07 (40m),True
PNT09,PNT09,Blue Grey,01 Basic,Premium Painted Wood,image,PNT09.jpg,#3F5968,#3F5968,9,1.22 x 40 m,50.0,2000.0,Special Order,False,False,,onbackorder,,,True
PNT10,PNT10,Dark Grey,01 Basic,Premium Painted Wood,image,PNT10.jpg,#485353,#495354,9,1.22 x 40 m,50.0,2000.0,Special Order,False,False,,onbackorder,,,True
S115,S115,Classic White,01 Basic,Solid,vector,S115.png,#FFFFFF,#FFFFFF,8,1.22 x 50 m,27.72,1320.0,In Stock,True,True,5424.0,instock,Solid Colours,S115,True
S126,S126,White Smoke,01 Basic,Solid,vector,S126.png,#EAE4DD,#EAE4DD,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,2086.0,instock,Solid Colours,S126,True
S127,S127,Cofee Cream,01 Basic,Solid,vector,S127.png,#EBD4B3,#EBD4B3,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,710.0,instock,Solid Colours,S127,True
S128,S128,Sand,01 Basic,Solid,vector,S128.png,#C8C2B5,#C8C2B5,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1835.0,instock,Solid Colours,S128,True
S140,S140,Black,01 Basic,Solid,vector,S140.png,#242321,#242321,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,3887.0,instock,Solid Colours,S140,True
S141,S141,Porcelain Beige,01 Basic,Solid,vector,S141.png,#F8DEA0,#F8DEA0,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,0.0,outofstock,Solid Colours,S141,True
S143,S143,Medium Grey,01 Basic,Solid,vector,S143.png,#7D7B7A,#7D7B7A,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,876.0,instock,Solid Colours,S143,True
S145,S145,Brown,01 Basic,Solid,vector,S145.png,#634F3D,#634F3D,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,221.0,instock,Solid Colours,S145,True
S146,S146,Orange Yellow,01 Basic,Solid,vector,S146.png,#F6B24D,#F6B24D,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S147,S147,Red,01 Basic,Solid,vector,S147.png,#BF4B33,#BF4B33,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S149,S149,Dark Grey,01 Basic,Solid,vector,S149.png,#3E3E3E,#3E3E3E,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,101.0,instock,Solid Colours,S149,True
S150,S150,Classic Blue,01 Basic,Solid,vector,S150.png,#293A68,#293A68,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S153,S153,Powder Blue,01 Basic,Solid,vector,S153.png,#CCCDD2,#CCCDD2,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S156,S156,Clay Beige,01 Basic,Solid,vector,S156.png,#B8AE9E,#B8AE9E,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,2278.0,instock,Solid Colours,S156,True
S157,S157,Warm Stone,01 Basic,Solid,vector,S157.png,#948473,#948473,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S158,S158,Light Grey,01 Basic,Solid,vector,S158.png,#C5C2C1,#C5C2C1,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,570.0,instock,Solid Colours,S158,True
S159,S159,Charcoal Grey,01 Basic,Solid,vector,S159.png,#5E6062,#5E6062,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1422.0,instock,Solid Colours,S159,True
S166,S166,Yellow Green,01 Basic,Solid,vector,S166.png,#E4D86B,#E4D86B,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S169,S169,Orange,01 Basic,Solid,vector,S169.png,#F68847,#F68847,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,4.0,instock,Solid Colours,S169,True
S173,S173,Royal Blue,01 Basic,Solid,vector,S173.png,#325EA9,#325EA9,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,25.0,instock,Solid Colours,S173,True
S175,S175,Blue Turquoise,01 Basic,Solid,vector,S175.png,#57A6B8,#57A6B8,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,6.0,instock,Solid Colours,S175,True
S176,S176,Off-White,01 Basic,Solid,vector,S176.png,#FFF6EF,#FFF6EF,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,5138.0,instock,Solid Colours,S176,True
S177,S177,Pearl Ivory,01 Basic,Solid,vector,S177.png,#F8E8E1,#F8E8E1,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,0.0,outofstock,Solid Colours,S177,True
S178,S178,Cream,01 Basic,Solid,vector,S178.png,#FFF1E5,#FFF1E5,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,3491.0,instock,Solid Colours,S178,True
S179,S179,Beige,01 Basic,Solid,vector,S179.png,#E9DDCF,#E9DDCF,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,3853.0,instock,Solid Colours,S179,True
S181,S181,Classic Greige,01 Basic,Solid,vector,S181.png,#B8ABA1,#B8ABA1,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,2402.0,instock,Solid Colours,S181,True
S183,S183,Cacao,01 Basic,Solid,vector,S183.png,#7B7266,#7B7266,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S185,S185,French Lilac,01 Basic,Solid,vector,S185.png,#C2CAE0,#C2CAE0,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S186,S186,Sky Blue,01 Basic,Solid,vector,S186.png,#86B4D5,#86B4D5,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S188,S188,Yellow,01 Basic,Solid,vector,S188.png,#F4C444,#F4C444,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S189,S189,Mint Green,01 Basic,Solid,vector,S189.png,#99B859,#99B859,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S194,S194,Mustard,01 Basic,Solid,vector,S194.png,#F9CA8C,#F9CA8C,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S195,S195,Platinum Blue,01 Basic,Solid,vector,S195.png,#8F9C9F,#8F9C9F,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,181.0,instock,Solid Colours,S195,True
S197,S197,Dark Blue,01 Basic,Solid,vector,S197.png,#2E2F36,#2E2F36,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,620.0,instock,Solid Colours,S197,True
S198,S198,Antique Grey,01 Basic,Solid,vector,S198.png,#686D79,#686D79,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,458.0,instock,Solid Colours,S198,True
S200,S200,Olive Green,01 Basic,Solid,vector,S200.png,#9B976C,#9B976C,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S201,S201,Sage Green,01 Basic,Solid,vector,S201.png,#626A5D,#626A5D,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1401.0,instock,Solid Colours,S201,True
S202,S202,Seaweed Green,01 Basic,Solid,vector,S202.png,#4E583E,#4E583E,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,0.0,outofstock,Solid Colours,S202,True
S204,S204,Navy Blue,01 Basic,Solid,vector,S204.png,#343A52,#343A52,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,134.0,instock,Solid Colours,S204,True
S208,S208,Ivory,01 Basic,Solid,vector,S208.png,#F7EEE7,#F7EEE7,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1710.0,instock,Solid Colours,S208,True
S209,S209,Stone Grey,01 Basic,Solid,vector,S209.png,#9F9B9F,#9F9B9F,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1474.0,instock,Solid Colours,S209,True
S210,S210,Ash,01 Basic,Solid,vector,S210.png,#87837E,#87837E,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S211,S211,Off-Black,01 Basic,Solid,vector,S211.png,#3C3C3E,#3C3C3E,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,689.0,instock,Solid Colours,S211,True
S212,S212,Earth Green,01 Basic,Solid,vector,S212.png,#9D9D8E,#9D9D8E,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,2300.0,instock,Solid Colours,S212,True
S213,S213,Peach,01 Basic,Solid,vector,S213.png,#F9AA8F,#F9AA8F,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,44.0,instock,Solid Colours,S213,True
S214,S214,Light Green,01 Basic,Solid,vector,S214.png,#D4E2D6,#D4E2D6,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,955.0,instock,Solid Colours,S214,True
S215,S215,Almond Latte,01 Basic,Solid,vector,S215.png,#AD9581,#AD9581,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1841.0,instock,Solid Colours,S215,True
S216,S216,Paper White,01 Basic,Solid,vector,S216.png,#F0EEE9,#F0EEE9,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,799.0,instock,Solid Colours,S216,True
S217,S217,Pastel Pink,01 Basic,Solid,vector,S217.png,#FCD1C8,#FCD1C8,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,117.0,instock,Solid Colours,S217,True
S218,S218,Burgundy,01 Basic,Solid,vector,S218.png,#622324,#622324,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S219,S219,Lime,01 Basic,Solid,vector,S219.png,#9EAB56,#9EAB56,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S230,S230,Dark Turqouise,01 Basic,Solid,vector,S230.png,#577076,#577076,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,-36.0,outofstock,Solid Colours,S230,True
S231,S231,Lava Stone Grey,01 Basic,Solid,vector,S231.png,#696766,#696766,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S232,S232,Bubblegum Pink,01 Basic,Solid,vector,S232.png,#F7ACB8,#F7ACB8,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S233,S233,Dark Green,01 Basic,Solid,vector,S233.png,#2B3F2A,#2B3F2A,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,604.0,instock,Solid Colours,S233,True
S234,S234,Dark Brown,01 Basic,Solid,vector,S234.png,#524940,#524940,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S235,S235,Graphite Grey,01 Basic,Solid,vector,S235.png,#8B898A,#8B898A,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,375.0,instock,Solid Colours,S235,True
S236,S236,Dove Grey,01 Basic,Solid,vector,S236.png,#A5A6A0,#A5A6A0,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S237,S237,Light Mauve,01 Basic,Solid,vector,S237.png,#B29492,#B29492,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,0.0,outofstock,Solid Colours,S237,True
S238,S238,Dusty Rose,01 Basic,Solid,vector,S238.png,#CBA4A9,#CBA4A9,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S239,S239,Pistachio Green,01 Basic,Solid,vector,S239.png,#C0C3B9,#C0C3B9,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,303.0,instock,Solid Colours,S239,True
S240,S240,Light Greige,01 Basic,Solid,vector,S240.png,#D8D1CA,#D8D1CA,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1735.0,instock,Solid Colours,S240,True
S241,S241,Pale Yellow,01 Basic,Solid,vector,S241.png,#F8DEA0,#F8DEA0,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S242,S242,Space Blue,01 Basic,Solid,vector,S242.png,#425D6C,#425D6C,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,4.0,instock,Solid Colours,S242,True
S243,S243,Soft White,01 Basic,Solid,vector,S243.png,#F7F8F9,#F7F8F9,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1834.0,instock,Solid Colours,S243,True
S244,S244,Frost White,01 Basic,Solid,vector,S244.png,#EBE4E2,#EBE4E2,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S245,S245,Pearl White,01 Basic,Solid,vector,S245.png,#FFF7F1,#FFF7F1,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S246,S246,Desert Tan,01 Basic,Solid,vector,S246.png,#A29386,#A29386,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,67.0,instock,Solid Colours,S246,True
S247,S247,Tan Brown,01 Basic,Solid,vector,S247.png,#8B786E,#8B786E,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S248,S248,Aqua Frost,01 Basic,Solid,vector,S248.png,#92A09D,#92A09D,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,149.0,instock,Solid Colours,S248,True
S249,S249,Lily Lavender,01 Basic,Solid,vector,S249.png,#B8B7D3,#B8B7D3,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S250,S250,French Fuschia,01 Basic,Solid,vector,S250.png,#BA5C68,#BA5C68,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S251,S251,Teracotta,01 Basic,Solid,vector,S251.png,#9A6157,#9A6157,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S252,S252,Baked Clay,01 Basic,Solid,vector,S252.png,#7C4C43,#7C4C43,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,444.0,instock,Solid Colours,S252 (NEW),True
S253,S253,Deep Brown,01 Basic,Solid,vector,S253.png,#433C39,#433C39,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S254,S254,Deep Blue,01 Basic,Solid,vector,S254.png,#1C2530,#1C2530,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S255,S255,Matte White,01 Basic,Solid,vector,S255.png,#F9F6F5,#F9F6F5,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,463.0,instock,Solid Colours,S255,True
S256,S256,Matte Ivory,01 Basic,Solid,vector,S256.png,#DCD3C9,#DCD3C9,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S257,S257,Matte Sand,01 Basic,Solid,vector,S257.png,#D7CAC4,#D7CAC4,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1291.0,instock,Solid Colours,S257,True
S258,S258,Sensual Grey,01 Basic,Solid,vector,S258.png,#BDB9B6,#BDB9B6,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S259,S259,Charcoal Grey,01 Basic,Solid,vector,S259.png,#514F4F,#514F4F,8,1.22 x 50 m,42.7,2135.0,Special Order,False,True,0.0,outofstock,Solid Colours,S259,True
S260,S260,Evening Snow,01 Basic,Solid,vector,S260.png,#F3EDE9,#F3EDE9,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S261,S261,Pale Sage,01 Basic,Solid,vector,S261.png,#FFFFFF,#FFFFFF,8,1.22 x 50 m,42.7,2135.0,Special Order,False,False,,onbackorder,,,True
S262,S262,Deep Maroon,01 Basic,Solid,vector,S262.png,#453439,#453439,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,282.0,instock,Solid Colours,S262 (NEW),True
S263,S263,Cloud White,01 Basic,Solid,vector,S263.png,#F5EFEB,#F5EFEB,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,775.0,instock,Solid Colours,S263 (NEW),True
S264,S264,Ash White,01 Basic,Solid,vector,S264.png,#EBE2DB,#EBE2DB,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,759.0,instock,Solid Colours,S264 (NEW),True
S265,S265,Warm White,01 Basic,Solid,vector,S265.png,#FAF2ED,#FAF2ED,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,1019.0,instock,Solid Colours,S265 (NEW),True
S266,S266,Warm Ivory,01 Basic,Solid,vector,S266.png,#EEE0D5,#EEE0D5,8,1.22 x 50 m,28.88,1375.0,In Stock,True,True,327.0,instock,Solid Colours,S266 (NEW),True
SMT01,SMT01,Ivory,01 Basic,Super Matt,vector,SMT01.png,#FEF9F0,#FEF9F0,10,1.22 x 50 m,35.81,1705.0,In Stock,True,True,1026.0,instock,Solid Colours,SMT01,True
SMT02,SMT02,Cream,01 Basic,Super Matt,vector,SMT02.png,#F9F7ED,#F9F7ED,10,1.22 x 50 m,35.81,1705.0,In Stock,True,True,672.0,instock,Solid Colours,SMT02,True
SMT03,SMT03,Beige,01 Basic,Super Matt,vector,SMT03.png,#D7CABA,#D7CABA,10,1.22 x 50 m,35.81,1705.0,In Stock,True,True,1585.0,instock,Solid Colours,SMT03,True
